Method: HOG, Model: KNN
Method Time: 9.55672812461853
Model Time: 4.005382776260376
Total Time: 13.562110900878906 seconds
Accuracy: 0.035
F1 Score: 0.02426190476190476
Classification Report:               precision    recall  f1-score   support

           0       0.00      0.00      0.00       100
           1       0.00      0.00      0.00       100
           2       0.00      0.00      0.00       100
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00       100
           5       0.00      0.00      0.00       100
           6       0.00      0.00      0.00       100
           7       0.00      0.00      0.00       100
           8       0.50      1.00      0.67       100
           9       0.00      0.00      0.00       100
          10       0.00      0.00      0.00       100
          11       0.00      0.00      0.00       100
          12       0.00      0.00      0.00       100
          13       0.00      0.00      0.00       100
          14       0.00      0.00      0.00       100
          15       0.00      0.00      0.00       100
          16       0.00      0.00      0.00       100
          17       0.00      0.00      0.00       100
          18       0.00      0.00      0.00       100
          19       0.00      0.00      0.00       100
          20       0.00      0.00      0.00       100
          21       0.00      0.00      0.00       100
          22       0.00      0.00      0.00       100
          23       0.00      0.00      0.00       100
          24       0.00      0.00      0.00       100
          25       0.00      0.00      0.00       100
          26       0.00      0.00      0.00       100
          27       0.00      0.00      0.00       100
          28       0.00      0.00      0.00       100
          29       1.00      1.00      1.00       100
          30       0.00      0.00      0.00       100
          31       0.00      0.00      0.00       100
          32       0.00      0.00      0.00       100
          33       0.00      0.00      0.00       100
          34       0.00      0.00      0.00       100
          35       0.00      0.00      0.00       100
          36       0.17      1.00      0.29       100
          37       0.00      0.00      0.00       100
          38       0.00      0.00      0.00       100
          39       0.00      0.00      0.00       100
          40       0.00      0.00      0.00       100
          41       0.00      0.00      0.00       100
          42       0.00      0.00      0.00       100
          43       0.00      0.00      0.00       100
          44       0.00      0.00      0.00       100
          45       0.00      0.00      0.00       100
          46       0.00      0.00      0.00       100
          47       0.33      1.00      0.50       100
          48       0.25      1.00      0.40       100
          49       0.00      0.00      0.00       100
          50       0.00      0.00      0.00       100
          51       0.00      0.00      0.00       100
          52       0.00      0.00      0.00       100
          53       0.00      0.00      0.00       100
          54       0.00      0.00      0.00       100
          55       0.00      0.00      0.00       100
          56       0.00      0.00      0.00       100
          57       0.00      0.00      0.00       100
          58       0.00      0.00      0.00       100
          59       0.00      0.00      0.00       100
          60       0.00      0.00      0.00       100
          61       0.00      0.00      0.00       100
          62       0.00      0.00      0.00       100
          63       0.00      0.00      0.00       100
          64       0.00      0.00      0.00       100
          65       0.00      0.00      0.00       100
          66       0.00      0.00      0.00       100
          67       0.00      0.00      0.00       100
          68       0.00      0.00      0.00       100
          69       0.00      0.00      0.00       100
          70       0.00      0.00      0.00       100
          71       0.00      0.00      0.00       100
          72       0.00      0.00      0.00       100
          73       0.00      0.00      0.00       100
          74       0.00      0.00      0.00       100
          75       0.00      0.00      0.00       100
          76       0.00      0.00      0.00       100
          77       0.00      0.00      0.00       100
          78       0.00      0.00      0.00       100
          79       0.00      0.00      0.00       100
          80       0.00      0.00      0.00       100
          81       0.00      0.00      0.00       100
          82       0.00      0.00      0.00       100
          83       0.00      0.00      0.00       100
          84       0.00      0.00      0.00       100
          85       0.00      0.00      0.00       100
          86       0.00      0.00      0.00       100
          87       0.00      0.00      0.00       100
          88       1.00      1.00      1.00       100
          89       0.00      0.00      0.00       100
          90       0.00      0.00      0.00       100
          91       0.00      0.00      0.00       100
          92       0.00      0.00      0.00       100
          93       0.00      0.00      0.00       100
          94       0.00      0.00      0.00       100
          95       0.00      0.00      0.00       100
          96       0.00      0.00      0.00       100
          97       0.00      0.00      0.00       100
          98       0.00      0.00      0.00       100
          99       0.00      0.00      0.00       100
         100       0.00      0.00      0.00       100
         101       0.00      0.00      0.00       100
         102       0.00      0.00      0.00       100
         103       0.00      0.00      0.00       100
         104       0.00      0.00      0.00       100
         105       0.00      0.00      0.00       100
         106       0.00      0.00      0.00       100
         107       0.00      0.00      0.00       100
         108       0.00      0.00      0.00       100
         109       0.00      0.00      0.00       100
         110       0.00      0.00      0.00       100
         111       0.00      0.00      0.00       100
         112       0.00      0.00      0.00       100
         113       0.00      0.00      0.00       100
         114       0.00      0.00      0.00       100
         115       0.00      0.00      0.00       100
         116       0.00      0.00      0.00       100
         117       0.00      0.00      0.00       100
         118       0.00      0.00      0.00       100
         119       0.00      0.00      0.00       100
         120       0.00      0.00      0.00       100
         121       0.00      0.00      0.00       100
         122       0.00      0.00      0.00       100
         123       0.00      0.00      0.00       100
         124       0.00      0.00      0.00       100
         125       0.00      0.00      0.00       100
         126       0.00      0.00      0.00       100
         127       0.00      0.00      0.00       100
         128       0.00      0.00      0.00       100
         129       0.00      0.00      0.00       100
         130       0.00      0.00      0.00       100
         131       0.00      0.00      0.00       100
         132       0.00      0.00      0.00       100
         133       0.00      0.00      0.00       100
         134       0.00      0.00      0.00       100
         135       0.00      0.00      0.00       100
         136       0.00      0.00      0.00       100
         137       0.00      0.00      0.00       100
         138       0.00      0.00      0.00       100
         139       0.00      0.00      0.00       100
         140       0.00      0.00      0.00       100
         141       0.00      0.00      0.00       100
         142       0.00      0.00      0.00       100
         143       0.00      0.00      0.00       100
         144       0.00      0.00      0.00       100
         145       0.00      0.00      0.00       100
         146       0.00      0.00      0.00       100
         147       0.00      0.00      0.00       100
         148       0.00      0.00      0.00       100
         149       0.00      0.00      0.00       100
         150       0.00      0.00      0.00       100
         151       0.00      0.00      0.00       100
         152       0.00      0.00      0.00       100
         153       0.00      0.00      0.00       100
         154       0.00      0.00      0.00       100
         155       0.00      0.00      0.00       100
         156       0.00      0.00      0.00       100
         157       0.00      0.00      0.00       100
         158       0.00      0.00      0.00       100
         159       0.00      0.00      0.00       100
         160       0.00      0.00      0.00       100
         161       0.00      0.00      0.00       100
         162       0.00      0.00      0.00       100
         163       0.00      0.00      0.00       100
         164       0.00      0.00      0.00       100
         165       0.00      0.00      0.00       100
         166       0.00      0.00      0.00       100
         167       0.00      0.00      0.00       100
         168       0.00      0.00      0.00       100
         169       0.00      0.00      0.00       100
         170       0.00      0.00      0.00       100
         171       0.00      0.00      0.00       100
         172       0.00      0.00      0.00       100
         173       0.00      0.00      0.00       100
         174       0.00      0.00      0.00       100
         175       0.00      0.00      0.00       100
         176       0.00      0.00      0.00       100
         177       1.00      1.00      1.00       100
         178       0.00      0.00      0.00       100
         179       0.00      0.00      0.00       100
         180       0.00      0.00      0.00       100
         181       0.00      0.00      0.00       100
         182       0.00      0.00      0.00       100
         183       0.00      0.00      0.00       100
         184       0.00      0.00      0.00       100
         185       0.00      0.00      0.00       100
         186       0.00      0.00      0.00       100
         187       0.00      0.00      0.00       100
         188       0.00      0.00      0.00       100
         189       0.00      0.00      0.00       100
         190       0.00      0.00      0.00       100
         191       0.00      0.00      0.00       100
         192       0.00      0.00      0.00       100
         193       0.00      0.00      0.00       100
         194       0.00      0.00      0.00       100
         195       0.00      0.00      0.00       100
         196       0.00      0.00      0.00       100
         197       0.00      0.00      0.00       100
         198       0.00      0.00      0.00       100
         199       0.00      0.00      0.00       100

    accuracy                           0.04     20000
   macro avg       0.02      0.04      0.02     20000
weighted avg       0.02      0.04      0.02     20000


Method: HOG, Model: SVM
Method Time: 9.55672812461853
Model Time: 2032.1058387756348
Total Time: 2041.6625669002533 seconds
Accuracy: 0.17
F1 Score: 0.11816666666666666
Classification Report:               precision    recall  f1-score   support

           0       0.00      0.00      0.00       100
           1       0.00      0.00      0.00       100
           2       0.00      0.00      0.00       100
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00       100
           5       0.00      0.00      0.00       100
           6       0.00      0.00      0.00       100
           7       0.00      0.00      0.00       100
           8       0.00      0.00      0.00       100
           9       0.00      0.00      0.00       100
          10       0.00      0.00      0.00       100
          11       0.00      0.00      0.00       100
          12       0.00      0.00      0.00       100
          13       0.00      0.00      0.00       100
          14       0.00      0.00      0.00       100
          15       0.00      0.00      0.00       100
          16       0.00      0.00      0.00       100
          17       0.00      0.00      0.00       100
          18       0.00      0.00      0.00       100
          19       0.00      0.00      0.00       100
          20       0.00      0.00      0.00       100
          21       0.33      1.00      0.50       100
          22       0.33      1.00      0.50       100
          23       0.50      1.00      0.67       100
          24       0.00      0.00      0.00       100
          25       0.00      0.00      0.00       100
          26       0.00      0.00      0.00       100
          27       0.00      0.00      0.00       100
          28       0.00      0.00      0.00       100
          29       0.00      0.00      0.00       100
          30       0.00      0.00      0.00       100
          31       0.00      0.00      0.00       100
          32       0.00      0.00      0.00       100
          33       0.50      1.00      0.67       100
          34       0.00      0.00      0.00       100
          35       0.00      0.00      0.00       100
          36       0.00      0.00      0.00       100
          37       0.50      1.00      0.67       100
          38       0.00      0.00      0.00       100
          39       1.00      1.00      1.00       100
          40       0.00      0.00      0.00       100
          41       0.50      1.00      0.67       100
          42       0.00      0.00      0.00       100
          43       0.00      0.00      0.00       100
          44       0.00      0.00      0.00       100
          45       0.00      0.00      0.00       100
          46       0.50      1.00      0.67       100
          47       0.25      1.00      0.40       100
          48       0.20      1.00      0.33       100
          49       0.00      0.00      0.00       100
          50       0.00      0.00      0.00       100
          51       0.00      0.00      0.00       100
          52       0.00      0.00      0.00       100
          53       0.00      0.00      0.00       100
          54       0.00      0.00      0.00       100
          55       0.00      0.00      0.00       100
          56       0.00      0.00      0.00       100
          57       0.00      0.00      0.00       100
          58       0.00      0.00      0.00       100
          59       0.00      0.00      0.00       100
          60       0.00      0.00      0.00       100
          61       0.00      0.00      0.00       100
          62       0.00      0.00      0.00       100
          63       0.00      0.00      0.00       100
